,banner_id,campaign_id,Duplicate_indicator
0,100,1,1
1,100,1,1
2,100,1,1
3,100,1,1
4,100,1,1
5,100,1,1
6,100,1,1
7,100,1,1
8,100,1,1
9,100,26,1
10,100,26,1
11,100,26,1
12,100,26,1
13,100,3,1
14,100,3,1
15,100,3,1
16,100,3,1
17,100,3,1
18,100,3,1
19,100,3,1
20,100,3,1
21,100,31,1
22,100,31,1
23,100,31,1
24,100,31,1
25,100,37,1
26,100,37,1
27,100,37,1
28,100,37,1
29,100,37,1
30,100,37,1
31,100,37,1
32,100,37,1
33,100,50,1
34,100,50,1
35,100,50,1
36,100,50,1
37,100,50,1
38,100,50,1
39,100,50,1
40,100,50,1
41,100,50,1
42,100,6,1
43,100,6,1
44,100,6,1
45,100,6,1
46,100,6,1
47,100,6,1
48,100,6,1
49,101,14,1
50,101,14,1
51,101,14,1
52,101,14,1
53,101,14,1
54,101,14,1
55,101,14,1
56,101,14,1
57,101,14,1
58,101,14,1
59,101,14,1
60,101,14,1
61,101,15,1
62,101,15,1
63,101,15,1
64,101,15,1
65,101,22,1
66,101,22,1
67,101,22,1
68,101,22,1
69,101,22,1
70,101,22,1
71,101,22,1
72,101,22,1
73,101,22,1
74,101,22,1
75,101,22,1
76,101,24,1
77,101,24,1
78,101,24,1
79,101,26,1
80,101,26,1
81,101,26,1
82,101,26,1
83,101,26,1
84,101,26,1
85,101,26,1
86,101,32,1
87,101,32,1
88,101,32,1
89,101,32,1
90,101,32,1
91,101,32,1
92,101,38,1
93,101,38,1
94,101,38,1
95,101,38,1
96,101,38,1
97,101,38,1
98,101,38,1
99,101,38,1
100,101,38,1
101,101,42,1
102,101,42,1
103,101,42,1
104,101,42,1
105,101,42,1
106,101,42,1
107,101,42,1
108,101,42,1
109,101,42,1
110,102,2,1
111,102,2,1
112,102,21,1
113,102,21,1
114,102,21,1
115,102,21,1
116,102,21,1
117,102,21,1
118,102,22,1
119,102,22,1
120,102,22,1
121,102,22,1
122,102,22,1
123,102,24,1
124,102,24,1
125,102,24,1
126,102,24,1
127,102,24,1
128,102,24,1
129,102,24,1
130,102,29,1
131,102,29,1
132,102,29,1
133,102,29,1
134,102,29,1
135,102,29,1
136,102,29,1
137,102,29,1
138,102,29,1
139,102,33,1
140,102,33,1
141,102,33,1
142,102,33,1
143,102,33,1
144,102,33,1
145,102,33,1
146,102,44,1
147,102,44,1
148,102,44,1
149,102,44,1
150,102,44,1
151,102,44,1
152,102,44,1
153,102,44,1
154,102,44,1
155,102,44,1
156,102,5,1
157,102,5,1
158,102,5,1
159,102,5,1
160,102,5,1
161,102,5,1
162,102,5,1
163,102,5,1
164,103,19,1
165,103,19,1
166,103,19,1
167,103,19,1
168,103,19,1
169,103,19,1
170,103,19,1
171,103,19,1
172,103,19,1
173,103,33,1
174,103,33,1
175,103,33,1
176,103,34,1
177,103,34,1
178,103,34,1
179,103,34,1
180,103,34,1
181,103,34,1
182,103,34,1
183,103,37,1
184,103,37,1
185,103,37,1
186,103,37,1
187,103,37,1
188,103,37,1
189,103,44,1
190,103,44,1
191,103,44,1
192,103,44,1
193,103,44,1
194,103,45,1
195,103,45,1
196,103,45,1
197,103,45,1
198,103,45,1
199,103,45,1
200,103,45,1
201,103,45,1
202,103,50,1
203,103,50,1
204,103,50,1
205,103,50,1
206,103,50,1
207,103,50,1
208,103,50,1
209,103,50,1
210,103,6,1
211,103,6,1
212,103,6,1
213,103,6,1
214,103,6,1
215,103,6,1
216,103,6,1
217,103,6,1
218,103,6,1
219,104,10,1
220,104,10,1
221,104,10,1
222,104,10,1
223,104,10,1
224,104,10,1
225,104,10,1
226,104,13,1
227,104,13,1
228,104,13,1
229,104,13,1
230,104,13,1
231,104,13,1
232,104,13,1
233,104,13,1
234,104,13,1
235,104,13,1
236,104,25,1
237,104,25,1
238,104,25,1
239,104,25,1
240,104,25,1
241,104,25,1
242,104,25,1
243,104,25,1
244,104,25,1
245,104,25,1
246,104,25,1
247,104,32,1
248,104,32,1
249,104,32,1
250,104,32,1
251,104,32,1
252,104,34,1
253,104,34,1
254,104,34,1
255,104,34,1
256,104,34,1
257,104,34,1
258,104,34,1
259,104,34,1
260,104,39,1
261,104,39,1
262,104,39,1
263,104,39,1
264,104,39,1
265,104,39,1
266,104,45,1
267,104,45,1
268,104,45,1
269,104,45,1
270,104,45,1
271,104,50,1
272,104,50,1
273,104,50,1
274,104,50,1
275,104,50,1
276,104,50,1
277,104,50,1
278,104,50,1
279,104,50,1
280,104,7,1
281,104,7,1
282,104,7,1
283,104,7,1
284,104,7,1
285,104,7,1
286,104,7,1
287,105,11,1
288,105,11,1
289,105,11,1
290,105,11,1
291,105,18,1
292,105,18,1
293,105,18,1
294,105,18,1
295,105,18,1
296,105,2,1
297,105,2,1
298,105,2,1
299,105,2,1
300,105,2,1
301,105,2,1
302,105,26,1
303,105,26,1
304,105,26,1
305,105,26,1
306,105,26,1
307,105,27,1
308,105,27,1
309,105,27,1
310,105,27,1
311,105,27,1
312,105,27,1
313,105,29,1
314,105,29,1
315,105,29,1
316,105,29,1
317,105,29,1
318,105,29,1
319,105,29,1
320,105,29,1
321,105,29,1
322,105,29,1
323,105,29,1
324,105,35,1
325,105,35,1
326,105,35,1
327,105,35,1
328,105,35,1
329,105,35,1
330,105,35,1
331,105,35,1
332,105,35,1
333,105,42,1
334,105,42,1
335,105,42,1
336,105,44,1
337,105,44,1
338,105,44,1
339,105,44,1
340,105,44,1
341,105,44,1
342,105,44,1
343,105,44,1
344,105,44,1
345,105,46,1
346,105,46,1
347,105,46,1
348,105,46,1
349,105,46,1
350,105,46,1
351,105,46,1
352,105,46,1
353,105,46,1
354,105,46,1
355,105,46,1
356,105,6,1
357,105,6,1
358,105,6,1
359,105,9,1
360,105,9,1
361,105,9,1
362,105,9,1
363,105,9,1
364,105,9,1
365,106,1,1
366,106,1,1
367,106,1,1
368,106,1,1
369,106,1,1
370,106,1,1
371,106,1,1
372,106,1,1
373,106,1,1
374,106,1,1
375,106,12,1
376,106,12,1
377,106,12,1
378,106,12,1
379,106,12,1
380,106,12,1
381,106,12,1
382,106,12,1
383,106,14,1
384,106,14,1
385,106,14,1
386,106,14,1
387,106,14,1
388,106,14,1
389,106,16,1
390,106,16,1
391,106,16,1
392,106,23,1
393,106,23,1
394,106,23,1
395,106,23,1
396,106,3,1
397,106,3,1
398,106,3,1
399,106,3,1
400,106,3,1
401,106,3,1
402,106,31,1
403,106,31,1
404,106,31,1
405,106,31,1
406,106,31,1
407,106,31,1
408,106,31,1
409,106,35,1
410,106,35,1
411,106,35,1
412,106,35,1
413,106,35,1
414,106,35,1
415,106,35,1
416,106,35,1
417,106,43,1
418,106,43,1
419,106,43,1
420,106,43,1
421,106,43,1
422,106,43,1
423,106,43,1
424,106,46,1
425,106,46,1
426,106,46,1
427,106,46,1
428,106,46,1
429,106,46,1
430,106,46,1
431,106,46,1
432,106,47,1
433,106,47,1
434,106,47,1
435,106,47,1
436,106,47,1
437,106,47,1
438,106,47,1
439,106,47,1
440,106,48,1
441,106,48,1
442,106,48,1
443,106,48,1
444,106,48,1
445,106,48,1
446,106,8,1
447,106,8,1
448,106,8,1
449,106,8,1
450,106,8,1
451,106,8,1
452,106,8,1
453,107,14,1
454,107,14,1
455,107,14,1
456,107,14,1
457,107,14,1
458,107,14,1
459,107,16,1
460,107,16,1
461,107,16,1
462,107,16,1
463,107,18,1
464,107,18,1
465,107,18,1
466,107,18,1
467,107,18,1
468,107,22,1
469,107,22,1
470,107,22,1
471,107,22,1
472,107,22,1
473,107,22,1
474,107,22,1
475,107,22,1
476,107,28,1
477,107,28,1
478,107,28,1
479,107,28,1
480,107,28,1
481,107,28,1
482,107,28,1
483,107,28,1
484,107,28,1
485,107,28,1
486,107,3,1
487,107,3,1
488,107,3,1
489,107,3,1
490,107,3,1
491,107,3,1
492,107,3,1
493,107,3,1
494,107,38,1
495,107,38,1
496,107,38,1
497,107,38,1
498,107,46,1
499,107,46,1
500,107,46,1
501,107,46,1
502,107,46,1
503,107,46,1
504,107,46,1
505,107,46,1
506,107,46,1
507,107,46,1
508,107,9,1
509,107,9,1
510,107,9,1
511,107,9,1
512,108,12,1
513,108,12,1
514,108,12,1
515,108,12,1
516,108,12,1
517,108,12,1
518,108,12,1
519,108,12,1
520,108,12,1
521,108,12,1
522,108,12,1
523,108,12,1
524,108,12,1
525,108,12,1
526,108,19,1
527,108,19,1
528,108,19,1
529,108,19,1
530,108,19,1
531,108,19,1
532,108,19,1
533,108,19,1
534,108,19,1
535,108,19,1
536,108,19,1
537,108,19,1
538,108,19,1
539,108,19,1
540,108,19,1
541,108,2,1
542,108,2,1
543,108,2,1
544,108,2,1
545,108,2,1
546,108,2,1
547,108,2,1
548,108,2,1
549,108,2,1
550,108,2,1
551,108,22,1
552,108,22,1
553,108,22,1
554,108,22,1
555,108,22,1
556,108,22,1
557,108,22,1
558,108,28,1
559,108,28,1
560,108,28,1
561,108,28,1
562,108,31,1
563,108,31,1
564,108,31,1
565,108,31,1
566,108,31,1
567,108,31,1
568,108,31,1
569,108,31,1
570,108,31,1
571,108,31,1
572,108,31,1
573,108,36,1
574,108,36,1
575,108,36,1
576,108,36,1
577,108,36,1
578,108,36,1
579,108,36,1
580,108,36,1
581,108,36,1
582,108,36,1
583,108,37,1
584,108,37,1
585,108,37,1
586,108,37,1
587,108,37,1
588,108,37,1
589,108,37,1
590,108,37,1
591,108,38,1
592,108,38,1
593,108,38,1
594,108,38,1
595,108,38,1
596,108,38,1
597,108,38,1
598,108,38,1
599,108,38,1
600,108,38,1
601,108,38,1
602,108,41,1
603,108,41,1
604,108,41,1
605,108,41,1
606,108,41,1
607,108,41,1
608,108,41,1
609,108,41,1
610,108,41,1
611,108,41,1
612,108,41,1
613,108,46,1
614,108,46,1
615,108,46,1
616,108,46,1
617,108,46,1
618,108,46,1
619,108,46,1
620,108,46,1
621,108,46,1
622,108,46,1
623,108,46,1
624,108,46,1
625,108,47,1
626,108,47,1
627,108,47,1
628,108,47,1
629,108,47,1
630,108,47,1
631,108,47,1
632,108,47,1
633,108,47,1
634,108,49,1
635,108,49,1
636,108,49,1
637,108,49,1
638,108,49,1
639,108,49,1
640,108,7,1
641,108,7,1
642,108,7,1
643,108,7,1
644,108,7,1
645,108,7,1
646,108,7,1
647,109,13,1
648,109,13,1
649,109,13,1
650,109,13,1
651,109,13,1
652,109,14,1
653,109,14,1
654,109,14,1
655,109,14,1
656,109,14,1
657,109,14,1
658,109,16,1
659,109,16,1
660,109,16,1
661,109,16,1
662,109,16,1
663,109,16,1
664,109,16,1
665,109,16,1
666,109,16,1
667,109,18,1
668,109,18,1
669,109,18,1
670,109,18,1
671,109,18,1
672,109,18,1
673,109,18,1
674,109,20,1
675,109,20,1
676,109,20,1
677,109,20,1
678,109,20,1
679,109,20,1
680,109,20,1
681,109,20,1
682,109,20,1
683,109,20,1
684,109,20,1
685,109,29,1
686,109,29,1
687,109,29,1
688,109,29,1
689,109,29,1
690,109,29,1
691,109,29,1
692,109,29,1
693,109,29,1
694,109,29,1
695,109,29,1
696,109,29,1
697,109,43,1
698,109,43,1
699,109,43,1
700,109,43,1
701,109,43,1
702,109,43,1
703,109,43,1
704,109,46,1
705,109,46,1
706,109,46,1
707,109,46,1
708,109,46,1
709,109,46,1
710,109,46,1
711,109,47,1
712,109,47,1
713,109,47,1
714,109,49,1
715,109,49,1
716,109,49,1
717,109,49,1
718,109,50,1
719,109,50,1
720,109,50,1
721,109,50,1
722,109,50,1
723,109,50,1
724,109,50,1
725,109,50,1
726,109,50,1
727,109,50,1
728,109,50,1
729,110,12,1
730,110,12,1
731,110,12,1
732,110,12,1
733,110,12,1
734,110,14,1
735,110,14,1
736,110,14,1
737,110,14,1
738,110,14,1
739,110,14,1
740,110,22,1
741,110,22,1
742,110,22,1
743,110,22,1
744,110,22,1
745,110,22,1
746,110,22,1
747,110,28,1
748,110,28,1
749,110,28,1
750,110,28,1
751,110,28,1
752,110,28,1
753,110,28,1
754,110,28,1
755,110,32,1
756,110,32,1
757,110,32,1
758,110,32,1
759,110,32,1
760,110,32,1
761,110,32,1
762,110,32,1
763,110,32,1
764,110,32,1
765,110,32,1
766,110,33,1
767,110,33,1
768,110,33,1
769,110,33,1
770,110,33,1
771,110,33,1
772,110,33,1
773,110,33,1
774,110,34,1
775,110,34,1
776,110,34,1
777,110,34,1
778,110,34,1
779,110,34,1
780,110,34,1
781,110,36,1
782,110,36,1
783,110,36,1
784,110,36,1
785,110,36,1
786,110,36,1
787,110,36,1
788,110,36,1
789,110,36,1
790,110,36,1
791,110,36,1
792,110,36,1
793,110,36,1
794,110,36,1
795,110,36,1
796,110,38,1
797,110,38,1
798,110,38,1
799,110,38,1
800,110,38,1
801,110,38,1
802,110,45,1
803,110,45,1
804,110,45,1
805,110,45,1
806,110,45,1
807,110,45,1
808,110,45,1
809,110,45,1
810,110,45,1
811,110,45,1
812,110,45,1
813,110,49,1
814,110,49,1
815,110,49,1
816,110,49,1
817,110,49,1
818,110,49,1
819,111,1,1
820,111,1,1
821,111,1,1
822,111,1,1
823,111,1,1
824,111,1,1
825,111,2,1
826,111,2,1
827,111,2,1
828,111,2,1
829,111,2,1
830,111,2,1
831,111,2,1
832,111,2,1
833,111,2,1
834,111,20,1
835,111,20,1
836,111,20,1
837,111,20,1
838,111,20,1
839,111,20,1
840,111,20,1
841,111,20,1
842,111,20,1
843,111,20,1
844,111,20,1
845,111,28,1
846,111,28,1
847,111,28,1
848,111,28,1
849,111,28,1
850,111,28,1
851,111,28,1
852,111,28,1
853,111,28,1
854,111,28,1
855,111,30,1
856,111,30,1
857,111,30,1
858,111,30,1
859,111,30,1
860,111,30,1
861,111,30,1
862,111,38,1
863,111,38,1
864,111,38,1
865,111,38,1
866,111,38,1
867,111,38,1
868,111,40,1
869,111,40,1
870,111,40,1
871,111,40,1
872,111,40,1
873,111,40,1
874,111,40,1
875,111,40,1
876,111,40,1
877,111,40,1
878,111,45,1
879,111,45,1
880,111,45,1
881,111,45,1
882,111,45,1
883,111,5,1
884,111,5,1
885,111,5,1
886,111,5,1
887,111,5,1
888,111,5,1
889,111,5,1
890,111,5,1
891,111,5,1
892,111,5,1
893,112,10,1
894,112,10,1
895,112,10,1
896,112,10,1
897,112,10,1
898,112,10,1
899,112,10,1
900,112,10,1
901,112,10,1
902,112,13,1
903,112,13,1
904,112,13,1
905,112,13,1
906,112,13,1
907,112,13,1
908,112,13,1
909,112,13,1
910,112,25,1
911,112,25,1
912,112,25,1
913,112,25,1
914,112,25,1
915,112,25,1
916,112,25,1
917,112,25,1
918,112,25,1
919,112,25,1
920,112,33,1
921,112,33,1
922,112,33,1
923,112,33,1
924,112,33,1
925,112,33,1
926,112,33,1
927,112,33,1
928,112,33,1
929,112,33,1
930,112,33,1
931,112,36,1
932,112,36,1
933,112,36,1
934,112,36,1
935,112,36,1
936,112,36,1
937,112,36,1
938,112,38,1
939,112,38,1
940,112,38,1
941,112,38,1
942,112,38,1
943,112,38,1
944,112,38,1
945,112,38,1
946,112,41,1
947,112,41,1
948,112,41,1
949,112,41,1
950,112,41,1
951,112,41,1
952,112,41,1
953,112,41,1
954,112,41,1
955,112,41,1
956,112,41,1
957,112,41,1
958,112,9,1
959,112,9,1
960,112,9,1
961,112,9,1
962,112,9,1
963,113,2,1
964,113,2,1
965,113,2,1
966,113,33,1
967,113,33,1
968,113,33,1
969,113,33,1
970,113,33,1
971,113,33,1
972,113,33,1
973,113,37,1
974,113,37,1
975,113,37,1
976,113,37,1
977,113,37,1
978,113,37,1
979,113,37,1
980,113,4,1
981,113,4,1
982,113,4,1
983,113,4,1
984,113,4,1
985,113,4,1
986,113,42,1
987,113,42,1
988,113,42,1
989,113,42,1
990,113,42,1
991,113,42,1
992,113,42,1
993,113,42,1
994,113,42,1
995,113,42,1
996,113,43,1
997,113,43,1
998,113,43,1
999,113,43,1
1000,113,43,1
1001,113,43,1
1002,113,43,1
1003,113,48,1
1004,113,48,1
1005,113,48,1
1006,113,48,1
1007,113,48,1
1008,113,48,1
1009,113,9,1
1010,113,9,1
1011,113,9,1
1012,113,9,1
1013,113,9,1
1014,113,9,1
1015,113,9,1
1016,113,9,1
1017,113,9,1
1018,114,19,1
1019,114,19,1
1020,114,19,1
1021,114,19,1
1022,114,19,1
1023,114,19,1
1024,114,19,1
1025,114,19,1
1026,114,19,1
1027,114,2,1
1028,114,2,1
1029,114,2,1
1030,114,2,1
1031,114,2,1
1032,114,2,1
1033,114,2,1
1034,114,2,1
1035,114,2,1
1036,114,2,1
1037,114,2,1
1038,114,23,1
1039,114,23,1
1040,114,23,1
1041,114,23,1
1042,114,23,1
1043,114,23,1
1044,114,23,1
1045,114,23,1
1046,114,23,1
1047,114,23,1
1048,114,23,1
1049,114,23,1
1050,114,23,1
1051,114,24,1
1052,114,24,1
1053,114,24,1
1054,114,24,1
1055,114,24,1
1056,114,24,1
1057,114,24,1
1058,114,24,1
1059,114,24,1
1060,114,24,1
1061,114,27,1
1062,114,27,1
1063,114,27,1
1064,114,27,1
1065,114,27,1
1066,114,27,1
1067,114,27,1
1068,114,28,1
1069,114,28,1
1070,114,28,1
1071,114,28,1
1072,114,28,1
1073,114,28,1
1074,114,28,1
1075,114,4,1
1076,114,4,1
1077,114,4,1
1078,114,4,1
1079,114,4,1
1080,114,42,1
1081,114,42,1
1082,114,42,1
1083,114,42,1
1084,114,42,1
1085,114,42,1
1086,114,42,1
1087,114,42,1
1088,114,42,1
1089,114,43,1
1090,114,43,1
1091,114,43,1
1092,114,43,1
1093,114,43,1
1094,114,43,1
1095,114,43,1
1096,114,43,1
1097,114,43,1
1098,114,50,1
1099,114,50,1
1100,114,50,1
1101,114,50,1
1102,114,50,1
1103,114,50,1
1104,114,50,1
1105,114,50,1
1106,114,50,1
1107,114,50,1
1108,114,50,1
1109,114,6,1
1110,114,6,1
1111,114,6,1
1112,114,6,1
1113,114,6,1
1114,115,11,1
1115,115,11,1
1116,115,11,1
1117,115,11,1
1118,115,11,1
1119,115,11,1
1120,115,11,1
1121,115,11,1
1122,115,13,1
1123,115,13,1
1124,115,13,1
1125,115,13,1
1126,115,13,1
1127,115,15,1
1128,115,15,1
1129,115,15,1
1130,115,15,1
1131,115,15,1
1132,115,15,1
1133,115,15,1
1134,115,15,1
1135,115,15,1
1136,115,15,1
1137,115,15,1
1138,115,16,1
1139,115,16,1
1140,115,16,1
1141,115,16,1
1142,115,16,1
1143,115,16,1
1144,115,20,1
1145,115,20,1
1146,115,20,1
1147,115,20,1
1148,115,20,1
1149,115,20,1
1150,115,20,1
1151,115,20,1
1152,115,37,1
1153,115,37,1
1154,115,37,1
1155,115,37,1
1156,115,37,1
1157,115,37,1
1158,115,37,1
1159,115,37,1
1160,115,41,1
1161,115,41,1
1162,115,41,1
1163,115,41,1
1164,115,41,1
1165,115,41,1
1166,115,45,1
1167,115,45,1
1168,115,45,1
1169,116,1,1
1170,116,1,1
1171,116,17,1
1172,116,17,1
1173,116,17,1
1174,116,17,1
1175,116,17,1
1176,116,17,1
1177,116,17,1
1178,116,17,1
1179,116,17,1
1180,116,17,1
1181,116,17,1
1182,116,26,1
1183,116,26,1
1184,116,26,1
1185,116,26,1
1186,116,26,1
1187,116,26,1
1188,116,26,1
1189,116,27,1
1190,116,27,1
1191,116,27,1
1192,116,27,1
1193,116,27,1
1194,116,27,1
1195,116,27,1
1196,116,37,1
1197,116,37,1
1198,116,37,1
1199,116,37,1
1200,116,37,1
1201,116,42,1
1202,116,42,1
1203,116,42,1
1204,116,42,1
1205,116,42,1
1206,116,44,1
1207,116,44,1
1208,116,44,1
1209,116,44,1
1210,116,44,1
1211,116,44,1
1212,117,11,1
1213,117,11,1
1214,117,11,1
1215,117,11,1
1216,117,11,1
1217,117,11,1
1218,117,11,1
1219,117,11,1
1220,117,11,1
1221,117,11,1
1222,117,22,1
1223,117,22,1
1224,117,22,1
1225,117,22,1
1226,117,22,1
1227,117,22,1
1228,117,42,1
1229,117,42,1
1230,117,42,1
1231,117,42,1
1232,117,42,1
1233,117,42,1
1234,117,43,1
1235,117,43,1
1236,117,43,1
1237,117,43,1
1238,117,43,1
1239,117,43,1
1240,117,43,1
1241,117,43,1
1242,117,43,1
1243,117,43,1
1244,117,43,1
1245,117,43,1
1246,117,44,1
1247,117,44,1
1248,117,44,1
1249,117,44,1
1250,117,44,1
1251,117,44,1
1252,117,44,1
1253,117,44,1
1254,117,44,1
1255,117,45,1
1256,117,45,1
1257,117,45,1
1258,117,45,1
1259,117,45,1
1260,117,45,1
1261,117,45,1
1262,117,45,1
1263,117,48,1
1264,117,48,1
1265,117,48,1
1266,117,48,1
1267,117,48,1
1268,117,48,1
1269,117,48,1
1270,117,49,1
1271,117,49,1
1272,117,49,1
1273,117,49,1
1274,117,49,1
1275,117,49,1
1276,117,49,1
1277,117,49,1
1278,117,49,1
1279,117,49,1
1280,117,49,1
1281,117,6,1
1282,117,6,1
1283,117,6,1
1284,117,6,1
1285,117,6,1
1286,117,6,1
1287,117,6,1
1288,117,6,1
1289,117,6,1
1290,117,6,1
1291,117,9,1
1292,117,9,1
1293,117,9,1
1294,117,9,1
1295,117,9,1
1296,117,9,1
1297,117,9,1
1298,117,9,1
1299,117,9,1
1300,117,9,1
1301,118,19,1
1302,118,19,1
1303,118,19,1
1304,118,19,1
1305,118,19,1
1306,118,19,1
1307,118,19,1
1308,118,28,1
1309,118,28,1
1310,118,28,1
1311,118,28,1
1312,118,28,1
1313,118,28,1
1314,118,3,1
1315,118,3,1
1316,118,3,1
1317,118,3,1
1318,118,3,1
1319,118,3,1
1320,118,3,1
1321,118,3,1
1322,118,34,1
1323,118,34,1
1324,118,34,1
1325,118,34,1
1326,118,34,1
1327,118,34,1
1328,118,34,1
1329,118,34,1
1330,118,34,1
1331,118,34,1
1332,118,34,1
1333,118,34,1
1334,118,34,1
1335,118,4,1
1336,118,4,1
1337,118,4,1
1338,118,4,1
1339,118,4,1
1340,118,45,1
1341,118,45,1
1342,118,45,1
1343,118,45,1
1344,118,45,1
1345,118,45,1
1346,118,45,1
1347,118,45,1
1348,118,49,1
1349,118,49,1
1350,118,49,1
1351,118,49,1
1352,118,49,1
1353,118,49,1
1354,118,49,1
1355,118,5,1
1356,118,5,1
1357,118,5,1
1358,118,5,1
1359,118,5,1
1360,118,5,1
1361,118,5,1
1362,118,5,1
1363,119,16,1
